Experience_Years,Python_Score,ML_Score,SQL_Score,WebDev_Score,SystemDesign_Score,Communication_Score,Certifications_Count,Expected_Salary,Role
1.9,93.2,69.3,43.6,56.9,52.4,69.2,1,17.93,Machine Learning Engineer
12.0,63.8,69.4,72.5,47.0,49.1,57.1,3,30.37,Cybersecurity Analyst
5.3,55.0,63.8,73.7,61.4,47.4,60.6,1,26.66,Product Manager
3.7,98.9,55.4,36.8,76.9,50.8,80.2,2,25.67,Product Manager
0.7,38.9,68.5,83.8,68.0,68.4,73.0,1,20.07,Product Manager
0.7,25.4,66.8,68.6,40.4,46.6,69.9,0,17.49,Product Manager
0.2,72.9,47.9,81.0,72.8,39.7,80.5,1,13.81,Data Analyst
8.0,56.0,43.5,39.9,45.2,44.9,75.8,1,29.46,Product Manager
3.7,46.6,57.0,39.5,62.3,60.4,87.4,0,22.34,Product Manager
4.9,77.8,86.0,57.8,51.9,75.4,64.5,1,24.57,Machine Learning Engineer
0.1,69.4,30.2,67.5,53.6,38.7,64.8,1,11.48,Data Analyst
14.0,54.8,25.6,86.9,73.3,51.8,54.4,3,31.02,Cybersecurity Analyst
7.1,42.0,58.3,70.6,37.2,56.1,64.9,1,26.87,Product Manager
1.0,80.7,56.0,56.4,96.9,32.1,81.6,1,14.05,UX Designer
0.8,76.7,58.5,44.6,21.6,50.4,85.6,1,16.45,Product Manager
0.8,63.2,59.9,78.5,46.0,23.6,81.5,1,19.13,Product Manager
1.5,98.2,50.5,45.5,65.4,18.2,48.5,1,14.22,Data Analyst
3.0,45.7,84.8,84.4,69.7,56.6,83.0,3,25.87,Product Manager
2.3,37.5,23.0,55.7,56.0,43.1,47.9,3,20.18,Product Manager
1.4,52.5,38.4,83.9,56.9,53.6,80.8,1,13.33,Data Analyst
3.8,64.2,52.9,70.2,66.2,49.7,65.6,2,24.77,Product Manager
0.6,69.4,22.1,57.9,53.4,32.4,78.4,2,20.13,Product Manager
1.4,60.7,51.5,52.2,85.9,49.2,54.0,5,17.83,UX Designer
1.8,71.3,88.2,54.9,74.8,27.8,84.1,2,15.77,UX Designer
2.4,42.5,55.4,66.4,75.5,75.0,52.4,2,21.83,Product Manager
6.2,91.0,59.6,61.2,38.7,25.6,62.0,2,21.39,Data Analyst
0.9,63.5,29.8,51.1,56.4,46.5,58.0,2,14.52,Cybersecurity Analyst
2.9,85.1,42.7,57.5,52.0,31.2,48.9,4,17.9,Data Analyst
3.6,71.2,47.5,61.2,37.9,60.3,71.1,1,21.93,Product Manager
0.2,73.2,48.6,28.1,65.2,44.0,91.7,1,15.13,Product Manager
3.7,75.3,80.6,66.9,47.2,40.7,100.0,0,24.87,Product Manager
0.7,73.1,66.2,45.3,71.1,65.4,71.2,5,21.41,Product Manager
0.3,76.6,32.8,42.7,36.6,50.5,83.4,0,16.76,Product Manager
11.9,88.9,59.9,34.7,92.4,59.3,72.8,3,30.04,UX Designer
13.5,68.5,65.0,33.1,40.1,32.3,76.0,1,32.38,Product Manager
6.6,77.8,77.8,39.7,62.4,24.7,65.9,1,24.82,Machine Learning Engineer
1.5,63.4,86.6,49.4,73.8,51.9,72.3,0,15.85,UX Designer
0.4,90.9,34.7,89.3,46.6,44.3,76.4,1,13.57,Data Analyst
4.6,52.8,38.8,52.1,75.0,61.3,63.1,1,24.31,Product Manager
2.3,97.4,29.8,62.7,33.4,48.6,69.1,1,17.37,Cybersecurity Analyst
0.5,64.3,50.3,66.0,87.0,53.7,69.3,2,15.58,UX Designer
2.7,39.2,64.3,62.0,58.3,20.8,79.9,3,15.99,UX Designer
0.1,67.3,74.7,58.8,46.1,84.0,57.2,0,15.27,Cybersecurity Analyst
9.6,52.7,53.5,42.1,52.0,47.0,69.4,2,29.81,Product Manager
1.2,80.1,48.6,81.8,74.2,62.6,92.9,2,22.74,Product Manager
4.3,53.3,58.0,87.1,46.3,35.0,84.0,2,25.26,Product Manager
1.5,57.0,38.3,34.8,43.0,55.5,86.2,1,19.8,Product Manager
2.9,31.0,96.8,44.6,53.6,26.5,70.3,1,18.91,Machine Learning Engineer
3.2,56.9,22.8,55.8,34.5,58.1,73.9,0,21.56,Product Manager
0.8,21.4,58.7,45.5,94.4,43.6,82.0,3,15.25,UX Designer
14.0,36.5,95.5,67.6,46.7,50.5,88.7,1,35.77,Product Manager
6.0,78.7,55.1,49.1,74.6,62.6,46.6,1,21.84,Cybersecurity Analyst
11.2,79.1,51.2,92.5,62.2,27.8,54.2,4,27.95,Data Analyst
9.0,72.7,47.9,77.9,38.3,37.7,85.7,2,27.1,Data Analyst
3.6,47.6,51.4,63.2,57.9,58.2,66.7,5,26.45,Product Manager
10.2,64.1,82.5,75.4,73.7,87.8,61.9,1,29.47,Cybersecurity Analyst
0.4,64.9,10.8,76.6,54.2,47.5,55.0,1,13.22,Data Analyst
0.9,44.1,85.7,51.5,81.9,60.6,63.3,2,16.78,UX Designer
0.2,92.1,26.5,47.8,78.4,48.1,53.2,2,14.73,UX Designer
1.6,80.8,49.7,61.2,76.4,85.0,95.1,1,20.67,Product Manager
2.0,61.0,46.4,72.9,48.8,18.6,69.7,2,17.16,Data Analyst
1.3,65.5,66.8,62.1,36.4,51.7,69.3,3,21.83,Product Manager
7.1,68.8,23.0,36.3,45.7,20.7,77.1,2,26.73,Product Manager
1.8,28.2,64.2,48.0,61.9,4.9,81.5,0,13.31,UX Designer
1.3,60.6,95.5,58.9,68.9,55.4,81.4,1,20.85,Machine Learning Engineer
3.1,52.7,27.7,58.9,14.6,52.5,82.9,1,22.61,Product Manager
0.6,47.0,58.8,89.6,57.8,44.9,62.4,1,14.51,Data Analyst
6.5,59.9,41.8,39.2,61.2,48.1,66.4,0,28.42,Product Manager
0.3,97.4,63.5,67.6,52.4,100.0,79.2,1,19.15,Product Manager
15.0,76.5,55.4,82.3,83.8,45.4,63.7,2,31.26,Data Analyst
5.9,54.7,42.2,94.1,66.4,59.2,69.9,1,26.98,Product Manager
0.9,75.3,64.8,53.9,84.2,38.3,74.8,1,14.51,UX Designer
0.0,90.2,91.1,67.4,53.7,55.3,79.4,1,17.21,Product Manager
6.8,81.6,51.2,68.5,76.7,45.7,48.7,2,21.47,Data Analyst
4.9,66.1,69.4,62.9,90.7,42.6,78.6,0,22.76,UX Designer
5.2,53.4,29.1,58.5,84.2,82.7,67.2,0,22.92,Product Manager
5.9,77.6,35.9,66.5,36.2,71.2,78.5,0,26.74,Product Manager
0.3,72.1,64.4,22.0,52.9,52.5,79.3,2,16.7,Product Manager
1.8,81.1,84.7,70.2,51.1,8.5,89.3,1,14.17,Data Analyst
0.5,76.4,62.1,61.9,67.8,43.5,86.2,2,19.06,Product Manager
8.0,83.9,48.7,56.7,71.7,98.7,86.2,0,31.39,Product Manager
3.9,55.4,55.0,90.7,41.2,45.8,87.3,1,17.38,Data Analyst
1.6,88.7,30.0,49.9,59.4,69.9,73.5,2,20.16,Product Manager
0.3,68.6,67.1,54.0,17.6,76.0,70.4,3,19.07,Product Manager
1.5,100.0,72.6,89.9,86.8,53.9,80.5,3,16.16,Data Analyst
1.6,52.6,46.0,47.5,47.8,34.8,78.8,2,21.35,Product Manager
5.2,96.2,45.6,51.7,59.1,6.2,66.3,0,18.77,Data Analyst
4.1,68.6,60.3,57.8,51.8,62.3,74.9,1,24.2,Product Manager
8.7,53.3,46.3,72.6,80.9,35.3,69.6,3,27.29,UX Designer
2.6,56.3,53.7,63.1,1.2,53.2,59.8,2,23.18,Product Manager
0.5,59.2,97.0,40.6,57.7,27.5,85.5,0,14.41,Product Manager
5.0,72.6,50.1,52.0,55.9,45.2,70.7,2,28.13,Product Manager
5.7,74.4,47.8,50.9,48.9,50.6,94.6,4,29.24,Product Manager
3.3,54.7,42.0,58.8,92.5,54.8,50.5,3,19.84,UX Designer
5.9,64.6,69.9,66.4,40.3,29.9,63.3,1,21.51,Data Analyst
2.7,100.0,51.4,66.3,73.4,71.5,70.4,3,22.59,Product Manager
3.0,96.1,42.0,33.4,65.1,39.3,83.6,0,19.28,UX Designer
2.2,72.9,81.4,76.0,83.2,19.9,74.8,3,18.77,UX Designer
0.1,65.7,83.4,63.8,44.7,48.0,73.7,1,16.3,Machine Learning Engineer
0.5,67.2,43.0,80.8,43.3,50.6,56.5,1,13.63,Data Analyst
